,epoch,time until adapted,expectations
0,0,931,[0.22170498 0.1963922  0.58190282]
1,1,946,[0.22190035 0.19872538 0.57937428]
2,2,976,[0.22343481 0.20218265 0.57438254]
3,3,998,[0.22574201 0.20348174 0.57077626]
4,4,1006,[0.22579727 0.20472665 0.56947608]
5,5,947,[0.22212569 0.19866783 0.57920649]
6,6,938,[0.22154472 0.19773519 0.58072009]
7,7,1024,[0.22606232 0.20736544 0.56657224]
8,8,950,[0.22106481 0.20023148 0.5787037 ]
9,9,933,[0.22041291 0.19802268 0.58156441]
10,10,981,[0.22454832 0.20189274 0.57355893]
11,11,951,[0.2215794  0.19988429 0.5785363 ]
12,12,972,[0.22340426 0.20155262 0.57504313]
13,13,915,[0.22011108 0.19526454 0.58462438]
14,14,938,[0.220964   0.19831591 0.58072009]
15,15,985,[0.22486394 0.20223432 0.57290175]
16,16,923,[0.2210557  0.19568387 0.58326043]
17,17,959,[0.22193362 0.2008658  0.57720058]
18,18,970,[0.22295742 0.20166858 0.57537399]
19,19,934,[0.22093023 0.19767442 0.58139535]
20,20,960,[0.22215811 0.20080785 0.57703405]
21,21,910,[0.2192623  0.19525761 0.58548009]
22,22,984,[0.22378223 0.20315186 0.5730659 ]
23,23,947,[0.2232841  0.19750941 0.57920649]
24,24,967,[0.22257414 0.20155485 0.575871  ]
25,25,894,[0.21764706 0.19411765 0.58823529]
26,26,945,[0.22109533 0.1993625  0.57954216]
27,27,894,[0.21852941 0.19323529 0.58823529]
28,28,953,[0.22318589 0.19861232 0.57820179]
29,29,916,[0.21917008 0.19637639 0.58445354]
30,30,934,[0.22122093 0.19738372 0.58139535]
31,31,1033,[0.22803052 0.20683809 0.56513139]
32,32,1039,[0.22849083 0.20733427 0.56417489]
33,33,913,[0.22023984 0.1947938  0.58496636]
34,34,1007,[0.22573299 0.20495303 0.56931398]
35,35,935,[0.2202848  0.19848881 0.58122639]
36,36,942,[0.22041763 0.19953596 0.5800464 ]
37,37,990,[0.22511442 0.2028032  0.57208238]
38,38,988,[0.22409845 0.2034917  0.57240985]
39,39,924,[0.22244898 0.19446064 0.58309038]
40,40,954,[0.22080925 0.20115607 0.57803468]
41,41,950,[0.22222222 0.19907407 0.5787037 ]
42,42,1022,[0.22704082 0.20606576 0.56689342]
43,43,922,[0.21995333 0.1966161  0.58343057]
44,44,911,[0.21978344 0.19490781 0.58530875]
45,45,902,[0.21830986 0.19483568 0.58685446]
46,46,942,[0.22215777 0.19779582 0.5800464 ]
47,47,946,[0.22132097 0.19930475 0.57937428]
48,48,895,[0.21846516 0.19347251 0.58806233]
49,49,984,[0.22492837 0.20200573 0.5730659 ]
50,50,982,[0.22534404 0.20126147 0.5733945 ]
51,51,918,[0.21962617 0.19626168 0.58411215]
52,52,1017,[0.2259438  0.20635822 0.56769798]
53,53,901,[0.21837394 0.19459935 0.58702671]
54,54,1011,[0.22632926 0.20500426 0.56866648]
55,55,964,[0.22247839 0.20115274 0.57636888]
56,56,884,[0.2179941 0.1920354 0.5899705]
57,57,976,[0.223722   0.20189546 0.57438254]
58,58,961,[0.2226709  0.20046149 0.57686761]
59,59,1005,[0.22529194 0.20506978 0.56963828]
60,60,954,[0.22138728 0.20057803 0.57803468]
61,61,995,[0.22622108 0.20251357 0.57126535]
62,62,950,[0.22193287 0.19936343 0.5787037 ]
63,63,905,[0.21870419 0.19495749 0.58633832]
64,64,956,[0.22270364 0.19959561 0.57770075]
65,65,1000,[0.22504278 0.20450656 0.57045066]
66,66,946,[0.2230591  0.19756663 0.57937428]
67,67,940,[0.21996518 0.19965177 0.58038305]
68,68,935,[0.22115664 0.19761697 0.58122639]
69,69,953,[0.22174039 0.20005782 0.57820179]
70,70,981,[0.22426154 0.20217952 0.57355893]
71,71,960,[0.22244662 0.20051933 0.57703405]
72,72,1035,[0.22818413 0.20700367 0.5648122 ]
73,73,963,[0.22283079 0.20063419 0.57653502]
74,74,926,[0.2217366  0.19551282 0.58275058]
75,75,978,[0.22330654 0.20264064 0.57405281]
76,76,957,[0.2220618  0.20040427 0.57753393]
77,77,906,[0.22010551 0.19372802 0.58616647]
78,78,956,[0.22328134 0.19901791 0.57770075]
79,79,927,[0.21963297 0.19778619 0.58258083]
80,80,912,[0.21942657 0.19543593 0.58513751]
81,81,946,[0.22103129 0.19959444 0.57937428]
82,82,933,[0.22128526 0.19715033 0.58156441]
83,83,915,[0.22040339 0.19497223 0.58462438]
84,84,936,[0.22138292 0.19755956 0.58105752]
85,85,950,[0.22193287 0.19936343 0.5787037 ]
86,86,966,[0.22321429 0.20074885 0.57603687]
87,87,938,[0.22270616 0.19657375 0.58072009]
88,88,983,[0.22355976 0.20321009 0.57323015]
89,89,933,[0.22070369 0.1977319  0.58156441]
90,90,964,[0.22132565 0.20230548 0.57636888]
91,91,950,[0.22135417 0.19994213 0.5787037 ]
92,92,965,[0.22299049 0.20080668 0.57620282]
93,93,948,[0.22177186 0.19918935 0.5790388 ]
94,94,910,[0.21955504 0.19496487 0.58548009]
95,95,929,[0.22066958 0.19708879 0.58224163]
96,96,914,[0.21929825 0.19590643 0.58479532]
97,97,940,[0.22141613 0.19820081 0.58038305]
98,98,1003,[0.22542035 0.2046167  0.56996295]
99,99,938,[0.22270616 0.19657375 0.58072009]
