,epoch,time spent in light,amount of times swapped
0,0,100,15
1,1,100,17
2,2,100,23
3,3,100,20
4,4,100,21
5,5,100,22
6,6,100,25
7,7,100,27
8,8,100,29
9,9,100,31
10,10,100,24
11,11,100,21
12,12,100,28
13,13,100,26
14,14,100,25
15,15,100,11
16,16,100,32
17,17,100,15
18,18,100,19
19,19,100,21
20,20,100,18
21,21,100,26
22,22,100,30
23,23,100,16
24,24,100,17
25,25,100,30
26,26,100,15
27,27,100,15
28,28,100,8
29,29,100,17
30,30,100,32
31,31,100,33
32,32,100,18
33,33,100,29
34,34,100,17
35,35,100,22
36,36,100,33
37,37,100,22
38,38,100,18
39,39,100,19
40,40,100,18
41,41,100,29
42,42,100,14
43,43,100,20
44,44,100,15
45,45,100,25
46,46,100,24
47,47,100,15
48,48,100,17
49,49,100,23
50,50,100,17
51,51,100,22
52,52,100,22
53,53,100,26
54,54,100,22
55,55,100,31
56,56,100,26
57,57,100,14
58,58,100,27
59,59,100,16
60,60,100,29
61,61,100,25
62,62,100,17
63,63,100,14
64,64,100,27
65,65,100,19
66,66,100,17
67,67,100,18
68,68,100,21
69,69,100,20
70,70,100,13
71,71,100,14
72,72,100,26
73,73,100,28
74,74,100,35
75,75,100,23
76,76,100,21
77,77,100,39
78,78,100,11
79,79,100,11
80,80,100,40
81,81,100,11
82,82,100,14
83,83,100,23
84,84,100,18
85,85,100,27
86,86,100,31
87,87,100,30
88,88,100,32
89,89,100,28
90,90,100,11
91,91,100,18
92,92,100,33
93,93,100,11
94,94,100,25
95,95,100,27
96,96,100,39
97,97,100,10
98,98,100,26
99,99,100,22
