,epoch,time spent in light,amount of times swapped
0,0,100,3
1,1,100,23
2,2,100,23
3,3,100,13
4,4,100,11
5,5,100,22
6,6,100,14
7,7,100,10
8,8,100,18
9,9,100,17
10,10,100,16
11,11,100,15
12,12,100,9
13,13,100,19
14,14,100,12
15,15,100,14
16,16,100,11
17,17,100,15
18,18,100,17
19,19,100,18
20,20,100,16
21,21,100,14
22,22,100,21
23,23,100,18
24,24,100,21
25,25,100,8
26,26,100,7
27,27,100,23
28,28,100,14
29,29,100,17
30,30,100,15
31,31,100,18
32,32,100,13
33,33,100,21
34,34,100,14
35,35,100,14
36,36,100,10
37,37,100,12
38,38,100,18
39,39,100,17
40,40,100,13
41,41,100,17
42,42,100,15
43,43,100,14
44,44,100,7
45,45,100,11
46,46,100,22
47,47,100,22
48,48,100,6
49,49,100,14
50,50,100,13
51,51,100,16
52,52,100,20
53,53,100,13
54,54,100,13
55,55,100,19
56,56,100,23
57,57,100,22
58,58,100,12
59,59,100,11
60,60,100,12
61,61,100,15
62,62,100,14
63,63,100,19
64,64,100,15
65,65,100,18
66,66,100,21
67,67,100,23
68,68,100,10
69,69,100,26
70,70,100,19
71,71,100,29
72,72,100,11
73,73,100,20
74,74,100,17
75,75,100,20
76,76,100,19
77,77,100,15
78,78,100,15
79,79,100,18
80,80,100,21
81,81,100,12
82,82,100,19
83,83,100,13
84,84,100,24
85,85,100,21
86,86,100,13
87,87,100,20
88,88,100,19
89,89,100,23
90,90,100,18
91,91,100,9
92,92,100,20
93,93,100,22
94,94,100,9
95,95,100,23
96,96,100,15
97,97,100,13
98,98,100,25
99,99,100,21
